"","date","publisher","title"
"1","2021-09-07T17:00:00Z","PR Newswire","The Future of the Global WEEE Recycling Market: Proliferation of Extended Producer Responsibility (EPR) and Related Information Technology Asset Disposal (ITAD) Strategies to Drive Growth Opportunities"
"2","2021-08-20T12:38:00Z","Research and Markets","Two Day REACH and RoHS Compliance Online Seminar: Protecting Revenues with Advanced Compliance - October 4-5, 2021"
"3","2021-09-09T12:15:00Z",NA,"Ethnic E-Grocer Weee! Appoints Three Executives To Leadership Team"
"4","2021-08-23T06:00:03Z","世界日報","生鮮電商Weee 改成線上自營模式"
"5","2021-08-25T13:24:00Z",NA,"StratEdge On-demand Webinar about Packages and Eutectic Die Attach for GaN Devices is Now Available"
"6","2021-08-26T12:10:16Z",NA,"VMG Partners Welcomes Brianna Rizzo as Talent Partner"
"7","2021-08-23T05:00:00Z","Conor Pope","Readers’ complaints: Is it right for a charity shop to charge hundreds for a piece of jewellery?"
"8","2021-09-06T06:09:47Z","Cassie Carpenter","Sailor Brinkley Cook twirls in white eyelet LoveShackFancy dress while attending The Hampton Classic"
"9","2021-08-23T10:19:00Z","PEARL.GmbH","revolt Magnetische Powerbank PB-170, 10.000 mAh, Qi-& MagSafe-kompatibel, PD, QC, 20 Watt: extraschnelles... - Presseportal.de"
"10","2021-08-17T13:16:41Z","Charles Radclyffe, Contributor, 
 Charles Radclyffe, Contributor
 https://www.forbes.com/sites/charlesradclyffe/","The Four ‘R’s Of Sustainable Tech"
"11","2021-08-30T13:15:35Z","Press Trust of India","IIT Madras Developing Platform To Tackle E-Waste"
"12","2021-08-16T07:42:37Z","Tacavas","109° - Seasonic Core Gold GM-650 650W 80+ Gold Modular PSU, £59.99 delivered at Currys PC World"
"13","2021-09-13T08:30:46Z","Tacavas","118° - Seasonic Core Gold GM-650 650W 80+ Gold Semi-modular PSU £59.99 at Currys PC world"
"14","2021-08-30T10:12:42Z","Tacavas","106° - Seasonic Core Gold GM-650 650W 80+ Gold Semi-modular PSU, £59.99 at Amazon"
"15","2021-08-30T15:41:15Z","PTI","IIT Madras developing platform to tackle e-waste by linking stakeholders in formal, informal sector"
"16","2021-08-15T19:00:00Z","Priya Krishna","Groceries, even if they want to, struggle to redefine ethnic food aisles"
"17","2021-08-24T08:32:09Z","Komarnisz997","Oo #shorts"
"18","2021-08-24T07:17:50Z","Alexcio","[Sammeldeal] HP 27xq LED-Monitor (68,6 cm/27 "", 2560 x 1440 Pixel, QHD, 1 ms Reaktionszeit, LED) [Otto Lieferflat]"
"19","2021-08-20T15:54:49Z","Chanchi32","116° - Easy Fountain Jug Water Feature including pump - Mains powered £34.99 delivered (UK Mainland) @ Aldi"
"20","2021-08-30T12:52:15Z","Science X staff","Decontaminating industrial plastic waste to ease the planet's burden"
